CIT_ID_NO_x,legal_form,sector,province,small_business,revenue,expenditure,income,tax_free_income_total,tax_base_before_deductions,deductions_from_tax_base,income_tax_base_after_deductions,citax,weight_x,tax_collected_under_current_policy,weighted_tax_collected_under_current_policy,ID_NO,CIT_ID_NO_y,tax_collected_under_benchmark_cit_rate_small_business,weight_y,weighted_tax_collected_under_benchmark_cit_rate_small_business,tax_expenditure_Small Corporations Tax rate,tax_expenditure_Rate at which Small Corporations are Taxed,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_statistic_purpose_art_17_1_4d_etc,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_statistic_purpose_art_17_1_4d_etc,"tax_expenditure_Revenue(s) Tax-Free, Intended For Statutory Purposes or Other Purposes","tax_expenditure_Dochody(Przych.) Wolne Od Pod.,Cele Stat.",CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_4,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_4,tax_expenditure_Tax-Free Income from (Article 17 (1) (4)),tax_expenditure_Dochody Wolne Od Podatku (Art.17 Ust.1 Pkt 4),CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_non_agriculture_art_17_1_4e,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_non_agriculture_art_17_1_4e,tax_expenditure_Tax Free Income from Non-Agricultural Activities,tax_expenditure_Dochody Z DziaÅ‚alnoÅ›ci Pozarolniczej-Wolne Od Podatku,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_art_17_1_21,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_art_17_1_21,"tax_expenditure_Grants, Subsidies, Surcharges And Other Gratuitous Benefits","tax_expenditure_Dotacje, Subwen., DopÅ‚aty I Inne Nieodp. Swiad.-Wolne Od Podatku",CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_23_24,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_23_24,tax_expenditure_Totax-Free Income Pursuant to Article 17 Clause 1 point 23 and 24,tax_expenditure_DochÃ³d Wolny Od Podatku na Podstawie Art. 17 Ust.1 Pkt 23 I Pkt 24,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_34,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_34,tax_expenditure_Tax-Free Income Pursuant to Article 17(1) point 34,tax_expenditure_Dochody Wolne Od Podatku Na Podstawie Art.17 Ust.1 Pkt.34,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_39,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_39,tax_expenditure_Tax-Free Income Pursuant to Article 17(1) point 39,tax_expenditure_Dochody Wolne Od Podatku na Podstawie Art.17 Ust.1 Pkt.34,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_housing_coops_art_17_1_44,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_housing_coops_art_17_1_44,"tax_expenditure_Income of Housing Cooperatives, Housing Associations-Tax Free","tax_expenditure_Dochody SpÃ³Å‚dzielni Mieszkan.,WspÃ³lnot Mieszkan-Wolne od Podatku",CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_state_local_art_17_1_47,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_state_local_art_17_1_47,tax_expenditure_Subsidies from the State Budget or Local Government-Tax-Free,tax_expenditure_Dotacje z BudÅ¼etu PaÅ„stwa Lub Jst- Wolne od Podatku,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_amounts_government_agencies_art_17_1_48,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_amounts_government_agencies_art_17_1_48,tax_expenditure_Amounts from Government Agencies or Executive Agencies-Tax-Free,tax_expenditure_Kwoty od Agencji RzÄ…dowych Lub Agencji Wykonawczych-Wolne od Podat.,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_agriculture_producer_groups_art_17_1_49,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_agriculture_producer_groups_art_17_1_49,tax_expenditure_Income of Agricultural Producer Groups-Tax Free,tax_expenditure_Dochody Grup ProducentÃ³w Rolnych-Wolne od Podatku Na,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_financial_programs_central_europe_art_17_1_52,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_financial_programs_central_europe_art_17_1_52,tax_expenditure_Income from Paying Financial Programs from Central Europe-Tax Free,tax_expenditure_Dochody z Tyt. PÅ‚atn. Progr.Finans.z Udz.Å›rod.Europ.-od Podatku,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_environmental_finances_art_17_1_53,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_environmental_finances_art_17_1_53,"tax_expenditure_Income from Environmental Finances, Received by Project Participant-Free of Tax","tax_expenditure_Dochody z Tyt. Å›rod.Fin., Otrz. Przez Uczest.Proj.-Wolne od Podatku",CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other_art_17_1,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other_art_17_1,tax_expenditure_Other Income-Free of Tax Pursuant to Article 17 clause 1,tax_expenditure_PozostaÅ‚e Dochody (Przychody) Wolne od Podatku z Art.17 Ust.1 ,CIT_ID_NO,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other,weight,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other,tax_expenditure_Tax-Free Income-Other,tax_expenditure_Dochody Wolne od Podatku-Inne
1,0.0,Wholesale/Retail Trade,Mazowieckie,0,107443809.7,105294933.5,2148876.200000003,0.0,2148876.200000003,0.0,2148876.200000003,408286.4780000006,800,408286.4780000006,326629182.40000045,A1,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0,1,408286,800,326629182,0.0,0.0
2,0.0,Wholesale/Retail Trade,Świętokrzyskie,0,106987524.3,104847773.8,2139750.5,0.0,2139750.5,0.0,2139750.5,406552.59500000003,800,406552.59500000003,325242076.0,A2,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0,2,406553,800,325242076,0.0,0.0
3,0.0,Utilities,Mazowieckie,0,85726148.66,84011625.69,1714522.9699999988,0.0,1681264.6099999987,0.0,1681264.6099999987,319440.2758999998,800,319440.2758999998,255552220.71999982,A3,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0,3,319440,800,255552221,0.0,0.0
4,0.0,Utilities,Małopolskie,0,85269863.3,83564466.03,1705397.2699999958,0.0,1379500.5399999958,0.0,1379500.5399999958,262105.10259999923,800,262105.10259999923,209684082.0799994,A4,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0,4,262105,800,209684082,0.0,0.0
5,0.0,Construction,Małopolskie,0,49579741.61,53546120.94,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A5,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0,5,0,800,0,0.0,0.0
6,0.0,Construction,Śląskie,0,49123456.25,53053332.75,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A6,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0,6,0,800,0,0.0,0.0
7,0.0,Health,Mazowieckie,0,27708271.92,27154106.48,554165.4400000013,0.0,554165.4400000013,0.0,554165.4400000013,105291.43360000025,800,105291.43360000025,84233146.8800002,A7,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0,7,105291,800,84233147,0.0,0.0
8,0.0,Health,Łódzkie,0,27251986.56,26706946.83,545039.7300000004,0.0,545039.7300000004,0.0,545039.7300000004,103557.54870000009,800,103557.54870000009,82846038.96000007,A8,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0,8,103558,800,82846039,0.0,0.0
9,0.0,Professional/Scientific,Świętokrzyskie,0,19983182.98,19583519.32,399663.66000000015,0.0,399663.66000000015,0.0,399663.66000000015,75936.09540000003,800,75936.09540000003,60748876.32000003,A9,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0,9,75936,800,60748876,0.0,0.0
10,0.0,Professional/Scientific,Mazowieckie,0,19526897.62,19136359.67,390537.94999999925,0.0,390537.94999999925,0.0,390537.94999999925,74202.21049999986,800,74202.21049999986,59361768.39999989,A10,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0,10,74202,800,59361768,0.0,0.0
