Tax Expenditure,Estimate (mill Zlotys)
Small Corporations Tax Rate,9
Tax-free Income For Statistical Purposes,419
Tax-free Income For ??,3338
Tax Free Income From Non-agricultural Activities,3574
Subsidies And Surcharges And Other Irrelevant Wit-free Of Tax,5644
Tax-free Income Pursuant To ??,5654
Tax-free Income Pursuant To ??,5804
Tax-free Income Pursuant To ??,6328
Tax-free Income Pursuant To ??,5654
Tax-free Income Pursuant To ??,5804
Tax-free Income Pursuant To ??,6328
Tax-free Income Pursuant To ??,5654
Tax-free Income Pursuant To ??,5804
Tax-free Income Pursuant To ??,6328
"Income Of Housing Cooperatives, Housing Associations- Tax Free",7575
Subsidies From The State Budget Or Local Government- Tax-free,11348
Amounts From Government Agencies Or Executive Agencies- Tax-free,11348
Income Of Agricultural Producer Groups - Tax Free,11374
Income From Paying Financial Programs From Central Europe- Tax Free,11386
"Income From Environmental Finances, Received By Project Participant- Free Of Tax",12218
Other Income-free Of Tax From ??,17341
Tax-free Income - Other ??,17635
