Tax Expenditure,Estimate (mill Zlotys)
Rate At Which Small Corporations Are Taxed,9
"Dochody(przych.) Wolne Od Pod.,cele Stat.",419
Dochody Wolne Od Podatku,3338
Dochody Wolne Od Podatku,5804
Dochody Wolne Od Podatku,6328
Dochody Z Dziaå‚alnoå›ci Pozarolniczej-wolne Od Podatku,3574
"Dotacje, Subwen., Dopå‚aty I Inne Nieodp. Å›wiad.-wolne Od Podatku",5644
Dochã³d Wolny Od Podatku,5654
Dochody Wolne Od Podatku,3338
Dochody Wolne Od Podatku,5804
Dochody Wolne Od Podatku,6328
Dochody Wolne Od Podatku,3338
Dochody Wolne Od Podatku,5804
Dochody Wolne Od Podatku,6328
"Dochody Spã³å‚dzielni Mieszkan.,wspã³lnot Mieszkan- Wolne Od Podatku",7575
Dotacje Z Budå¼etu Paå„stwa Lub Jst- Wolne Od Podatku,11348
Kwoty Od Agencji Rzä…dowych Lub Agencji Wykonawczych-wolne Od Podat.,11348
Dochody Grup Producentã³w Rolnych - Wolne Od Podatku Na,11374
Dochody Z Tyt. På‚atn. Progr.finans. Z Udz. Å›rod. Europ.-od Podatku,11386
"Dochody Z Tyt. Å›rod.fin., Otrz. Przez Uczest.proj.-wolne Od Podatku",12218
Pozostaå‚e Dochody (przychody) Wolne Od Podatku,17341
Dochody Wolne Od Podatku - Inne,17635
